Time [s],Concentration [VMR]
0.000000000000000000e+00,6.840625000000015964e-03
2.500000000000000139e-02,7.136250000000015845e-03
5.000000000000000278e-02,7.959375000000018519e-03
7.500000000000001110e-02,8.620000000000020007e-03
1.000000000000000056e-01,7.585000000000017076e-03
1.250000000000000000e-01,7.333125000000017581e-03
1.500000000000000222e-01,7.904375000000015555e-03
1.750000000000000167e-01,9.492500000000021754e-03
2.000000000000000111e-01,7.925000000000015365e-03
2.250000000000000056e-01,7.095000000000016224e-03
2.500000000000000000e-01,7.545000000000016971e-03
2.750000000000000222e-01,8.417500000000018717e-03
3.000000000000000444e-01,8.457500000000017087e-03
3.250000000000000111e-01,7.122500000000016838e-03
3.500000000000000333e-01,7.096250000000015740e-03
3.750000000000000000e-01,7.385000000000016551e-03
4.000000000000000222e-01,8.140000000000018748e-03
4.250000000000000444e-01,7.488750000000018829e-03
4.500000000000000111e-01,5.847500000000013277e-03
4.750000000000000333e-01,6.042500000000014006e-03
5.000000000000000000e-01,6.775000000000015385e-03
5.250000000000000222e-01,7.710000000000017187e-03
5.500000000000000444e-01,6.835625000000015300e-03
5.750000000000000666e-01,6.315625000000013936e-03
6.000000000000000888e-01,6.673125000000014982e-03
6.250000000000000000e-01,7.676250000000018128e-03
6.500000000000000222e-01,7.157500000000017147e-03
6.750000000000000444e-01,6.648750000000015759e-03
7.000000000000000666e-01,6.653750000000015555e-03
7.250000000000000888e-01,6.717500000000015126e-03
7.500000000000000000e-01,7.171875000000016778e-03
7.750000000000000222e-01,6.362500000000014845e-03
8.000000000000000444e-01,6.575000000000014860e-03
8.250000000000000666e-01,5.645625000000013480e-03
8.500000000000000888e-01,6.795625000000015195e-03
8.750000000000000000e-01,8.089375000000016691e-03
9.000000000000000222e-01,7.711250000000017570e-03
9.250000000000000444e-01,6.161250000000013938e-03
9.500000000000000666e-01,7.125000000000016737e-03
9.750000000000000888e-01,7.981250000000016109e-03
1.000000000000000000e+00,8.410000000000018155e-03
1.025000000000000133e+00,7.787500000000017499e-03
1.050000000000000044e+00,6.813125000000015349e-03
1.074999999999999956e+00,7.248750000000015598e-03
1.100000000000000089e+00,7.978750000000017079e-03
1.125000000000000000e+00,8.634375000000017036e-03
1.150000000000000133e+00,7.900000000000016384e-03
1.175000000000000044e+00,8.073750000000016677e-03
1.200000000000000178e+00,8.398750000000013843e-03
