Number of teeth,Comb spacing (Hz),Mean concentration (VMR),Standard deviation (VMR)
5,2600000000.0,0.009283945729843278,0.000685001722867982
5,2700000000.0,0.00958125841877877,0.0008560970679007151
5,2800000000.0,0.009721812946974523,0.0008480469929841079
5,2900000000.0,0.009922784680054723,0.0010043766153601992
6,2200000000.0,0.009213930835733424,0.0008206213794328257
6,2300000000.0,0.009317922280806069,0.0007993426040940918
6,2400000000.0,0.00943569666276716,0.0009855339379827772
6,2500000000.0,0.009656149145973607,0.0009267851366058199
6,2600000000.0,0.009875198643926431,0.0009185356042163554
6,2700000000.0,0.010011036599327523,0.0010051109400396844
6,2800000000.0,0.01027692544309804,0.0010077874469963657
6,2900000000.0,0.010287114019562893,0.0010865106160097243
7,1700000000.0,0.009122356602010042,0.00038096492996636327
7,1800000000.0,0.009232785441732413,0.00024298922669241824
7,1900000000.0,0.00932893012852308,0.00038843395885868065
7,2000000000.0,0.00938903696366004,0.00046718186796568885
7,2100000000.0,0.009495893553896639,0.0005473449700836797
7,2200000000.0,0.009572460716373903,0.0005932075384577243
7,2300000000.0,0.009766116428043634,0.0006453591588323035
7,2400000000.0,0.009829461187605897,0.000831694692058307
7,2500000000.0,0.009980895392344202,0.0008337640354591803
7,2600000000.0,0.010195528391910357,0.0007844488772579177
7,2700000000.0,0.010379180817649188,0.0008520654813725812
7,2800000000.0,0.010295721976572922,0.0010722693832583303
7,2900000000.0,0.010624689349136449,0.0009589700889456657
8,1300000000.0,0.009042954404583027,0.0002573845778736142
8,1400000000.0,0.00911789260245985,0.00032187227786881564
8,1500000000.0,0.009168184188624052,0.000213353381529752
8,1600000000.0,0.009206003407500994,0.0004383241370227578
8,1700000000.0,0.009358267442265792,0.0003796063248834975
8,1800000000.0,0.009369400356150463,0.00028160867365469743
8,1900000000.0,0.009485373000798386,0.00041259139909001437
8,2000000000.0,0.00958105244636751,0.00043295208969059627
8,2100000000.0,0.009598065279127209,0.0006502853539628034
8,2200000000.0,0.009642788506984858,0.0007060595112246838
8,2300000000.0,0.00978683323315702,0.0007496633962356472
8,2400000000.0,0.010037261653011977,0.0007632252454404084
8,2500000000.0,0.010065088440691794,0.0007847928028951169
8,2600000000.0,0.010028909347389347,0.0009223034570390451
9,1200000000.0,0.009278216633736134,0.00035963567875009294
9,1300000000.0,0.009352878297590506,0.000349914247000418
9,1400000000.0,0.00943309362844793,0.0003840994134476669
9,1500000000.0,0.009457484099901492,0.00032554419816899276
9,1600000000.0,0.009536781691296735,0.0003613234530068313
9,1700000000.0,0.009451649747149717,0.0003668294023677732
9,1800000000.0,0.009607287741241807,0.0002534498759167852
9,1900000000.0,0.009609806908597173,0.0004868456829097048
9,2000000000.0,0.009714748787384627,0.00043972647570923994
9,2100000000.0,0.00981131125540818,0.0005760095356112155
9,2200000000.0,0.009892473008724863,0.000563914829340399
9,2300000000.0,0.009975761428030038,0.0006149379295206334
9,2400000000.0,0.010070531619451133,0.000826868784562499
10,1200000000.0,0.009333340542763347,0.0002934101736341253
10,1300000000.0,0.009458096577313207,0.0003124147423022329
10,1400000000.0,0.009502630936532263,0.00038791665307784146
10,1500000000.0,0.009549146977416566,0.00034217686958709235
10,1600000000.0,0.009623332790650143,0.00037943714376599124
10,1700000000.0,0.009639844286763621,0.000393978676210408
10,1800000000.0,0.009664330330613206,0.0003000002635701605
10,1900000000.0,0.009686789417559594,0.00047536994942035707
10,2000000000.0,0.009897955037030505,0.0004709036401506046
10,2100000000.0,0.00985283158685803,0.000607416926662193
10,2200000000.0,0.009982923045594403,0.0007205033087283336
10,2300000000.0,0.0099600884151946,0.0007195122688131518
10,2400000000.0,0.010176723258599923,0.0007304278528468899
11,1000000000.0,0.009339164395145212,0.0002690002020332255
11,1100000000.0,0.00945183583823785,0.0003629862932403946
11,1200000000.0,0.00957578069026547,0.00034421630400417676
11,1300000000.0,0.009545446614681794,0.00038980385143330443
11,1400000000.0,0.009662109518570362,0.0003460243322639231
11,1500000000.0,0.00967192047249565,0.00033767874639530554
11,1600000000.0,0.00976979380817866,0.00039505808009598664
11,1700000000.0,0.00975290539306614,0.00036123393525982675
11,1800000000.0,0.009761067546582326,0.00036402551195332535
11,1900000000.0,0.00986345363166619,0.00041788488893040377
11,2000000000.0,0.009928846104462425,0.0005194435842767692
11,2100000000.0,0.01024657425722489,0.00024330259090374622
11,2200000000.0,0.010099258072613622,0.00022984042814907816
12,1000000000.0,0.009408377918882547,0.00028731267405868394
12,1100000000.0,0.009517301593668585,0.00034061449123374274
12,1200000000.0,0.009611825854492148,0.00036704275428240947
12,1300000000.0,0.009785017343368558,0.0003700740457598554
12,1400000000.0,0.009718712822364903,0.0003909415396757648
12,1500000000.0,0.009744148933437013,0.00033982131801263996
12,1600000000.0,0.009758532922907005,0.0004138029956311685
12,1700000000.0,0.009826707692658494,0.0004329230178829201
12,1800000000.0,0.009931478419834237,0.0003861509949624105
12,1900000000.0,0.009851997338594017,0.0004845058174466068
13,900000000.0,0.00949546208341717,0.00026197761889629905
13,1000000000.0,0.009594605485776042,0.0003020348687658401
13,1100000000.0,0.009643360980023873,0.0003761456647946275
13,1200000000.0,0.009791224184686956,0.0004418148644388705
13,1300000000.0,0.009766798796070652,0.0003492772140595246
13,1400000000.0,0.009798125839961834,0.00039589692730678547
13,1500000000.0,0.009862767947259852,0.00035167303465098016
13,1600000000.0,0.009907947523462626,0.00043070861626186995
13,1700000000.0,0.009816863441810582,0.0004134343111394062
14,600000000.0,0.009001723788179603,0.00023305027095566375
14,700000000.0,0.009226355797882786,0.00027937486229306517
14,800000000.0,0.009398317820461804,0.0004026530762298177
14,900000000.0,0.009490639353972579,0.0003130603200045111
14,1000000000.0,0.009629788866049795,0.00030718666285408877
14,1100000000.0,0.009709019685475285,0.0004105203909934741
14,1200000000.0,0.009768199368279398,0.0003660240652541489
14,1300000000.0,0.009870558866744799,0.00036595231548181646
14,1400000000.0,0.009894723121327529,0.00038382396655875874
14,1500000000.0,0.009879144522771765,0.00040415234603471614
14,1600000000.0,0.009896616036555339,0.0004626435360897622
15,600000000.0,0.009222288743269857,0.0002471196835741613
15,700000000.0,0.009372988989645115,0.0003078708208960928
15,800000000.0,0.00959013643584688,0.0003444308645248772
15,900000000.0,0.009618507385936276,0.00030802422728956277
15,1000000000.0,0.009744541211425966,0.0003706217012905794
15,1100000000.0,0.009810712548126642,0.00037921749434842374
15,1200000000.0,0.009947728463423658,0.00042113668781352
15,1300000000.0,0.009901918795188073,0.00037980587890457476
15,1400000000.0,0.009983374695429889,0.00040489484644967163
15,1500000000.0,0.009911171108720487,0.00032722388722623965
16,600000000.0,0.009275991516833847,0.0003079166628540594
16,700000000.0,0.009447871138144636,0.00026829534198260553
16,800000000.0,0.009605626044593037,0.0003455590622930754
16,900000000.0,0.009679302618675332,0.00027872790407789896
16,1000000000.0,0.009806867403585506,0.0003557026783122777
16,1100000000.0,0.00989804380084657,0.0003899563295909458
16,1200000000.0,0.009936726025775822,0.0003732549087287436
16,1300000000.0,0.0099824038411843,0.00037187070890114097
16,1400000000.0,0.01001047714056488,0.00040211514934436753
17,500000000.0,0.009154731945203677,0.0003148696285561944
17,600000000.0,0.009427286613604001,0.0002898397981081112
17,700000000.0,0.009619150213227883,0.0003541319235163905
17,800000000.0,0.009690822437613062,0.0003896014123864137
17,900000000.0,0.009832115314793938,0.00030681349283705184
17,1000000000.0,0.0099716114577942,0.0003384372181123553
17,1100000000.0,0.009936216468885794,0.00041420978375069034
17,1200000000.0,0.010013509722915273,0.00039569413444542504
17,1300000000.0,0.010104542351297853,0.00041013871952482676
18,500000000.0,0.009172260003124138,0.0003243805655905392
18,600000000.0,0.009467911877700012,0.00030717438419081426
18,700000000.0,0.009607371502672414,0.00030291815000664784
18,800000000.0,0.00975853763919586,0.0003718123494038527
18,900000000.0,0.00983999778668974,0.00032679899567959774
18,1000000000.0,0.009999168301167791,0.0003951540670078168
18,1100000000.0,0.010009051743492843,0.00040132681368853585
18,1200000000.0,0.01004093123538401,0.0004109487851371959
19,500000000.0,0.009429885497497077,0.00041216732121459747
19,600000000.0,0.009575859342073334,0.00026936370398180883
19,700000000.0,0.009727979534473671,0.00030167207821097617
19,800000000.0,0.009876945024847232,0.00040133842533040935
19,900000000.0,0.009930414185854278,0.000316325089855543
19,1000000000.0,0.010053124046443951,0.0003686892512421505
19,1100000000.0,0.010067672764369111,0.00041617567201687646
20,400000000.0,0.009084328532859575,0.00032112835530283176
20,500000000.0,0.009446818957880158,0.00036413876495291624
20,600000000.0,0.009659457918083245,0.0003010073937762553
20,700000000.0,0.009820380848362259,0.00036114294635223476
20,800000000.0,0.009917568027464714,0.00041154364477562585
20,900000000.0,0.009974456957344063,0.0003491702900883875
20,1000000000.0,0.010061149907216687,0.00035398536575348275
20,1100000000.0,0.01016425003822353,0.00044790592896896795
21,400000000.0,0.009260245858275545,0.00034379916837837097
21,500000000.0,0.009596597851909926,0.0003566123108552755
21,600000000.0,0.009762807426968374,0.0003377613458203674
21,700000000.0,0.009849170547874198,0.00038842697048704466
21,800000000.0,0.010019331155671184,0.0004736193658952258
21,900000000.0,0.01005726517803196,0.0003760228588289799
21,1000000000.0,0.01012537176316276,0.0003726106745007869
22,400000000.0,0.009229793454533982,0.0003594779531966515
22,500000000.0,0.009668411711028637,0.00043811906030052157
22,600000000.0,0.009775853788669553,0.0003621015932830671
22,700000000.0,0.009929235987968313,0.00038247306483146966
22,800000000.0,0.010050202859595203,0.0004611743884010132
22,900000000.0,0.010105445053387336,0.0003561370974676946
23,400000000.0,0.009398688881874733,0.00036946474711724205
23,500000000.0,0.009668466649808504,0.00041802959803277954
23,600000000.0,0.00982975647759445,0.0003686142686489948
23,700000000.0,0.009898781868895827,0.0003923105543400963
23,800000000.0,0.010130029717285985,0.00048737352329112434
23,900000000.0,0.010140574095452526,0.0003369203189129778
24,400000000.0,0.009546844419351889,0.0003682403181015979
24,500000000.0,0.009730885468570654,0.0003812377625588451
24,600000000.0,0.009914268689130604,0.0003219563522420219
24,700000000.0,0.01001178773051117,0.0004028456836471764
24,800000000.0,0.01014864960629559,0.00042437942934645743
25,400000000.0,0.009625576362737183,0.0003578036650660051
25,500000000.0,0.009807737183637262,0.00038634079001804295
25,600000000.0,0.010050169427431302,0.0003629510452849386
25,700000000.0,0.010152176650250597,0.00041625952801119226
25,800000000.0,0.010184366394010453,0.0004738345818022804
26,400000000.0,0.009615998475763603,0.00039515634110142366
26,500000000.0,0.009819937498125587,0.0003855019196635983
26,600000000.0,0.010043338931125984,0.0003548096121120928
26,700000000.0,0.01017920626336612,0.00043729563214177223
26,800000000.0,0.010269473272387556,0.0004474860550926609
27,300000000.0,0.009324851332280417,0.0003644628026018074
27,400000000.0,0.009679001420700857,0.0003356895755348571
27,500000000.0,0.00997494486815299,0.0004747019756244842
27,600000000.0,0.010063938934313206,0.0004477341369595873
27,700000000.0,0.010158942428967805,0.0003650120244121895
28,300000000.0,0.00936722966640644,0.00038024293078825754
28,400000000.0,0.009684744922002754,0.00039246814722898685
28,500000000.0,0.009971210520428155,0.00041756527067876126
28,600000000.0,0.010141709300239053,0.00041813699727762566
28,700000000.0,0.010234839342805647,0.0004525586765731717
29,300000000.0,0.009353026418034224,0.00031930086898065236
29,400000000.0,0.009776282069333623,0.0003668619458888674
