Number of teeth,Comb spacing (Hz),Mean concentration (VMR),Standard deviation (VMR)
5,2800000000.0,0.009735456611145889,0.0011824182985783003
5,2900000000.0,0.0099832493612423,0.0011708392468714813
5,3000000000.0,0.009906654316823648,0.0011428709376361033
6,2400000000.0,0.009480155214986172,0.0010572238731141
6,2500000000.0,0.00968777500488078,0.001029040867230932
6,2600000000.0,0.010027724841477983,0.0010775761550259012
6,2700000000.0,0.010146456718521888,0.0011659338339329954
6,2800000000.0,0.01036327034067294,0.0011682085738807986
6,2900000000.0,0.010258439173069006,0.001421964805061723
6,3000000000.0,0.010612444546410789,0.0014691667445587628
7,1400000000.0,0.00891742634471846,0.000612107797491151
7,1500000000.0,0.009075558156379664,0.0006108021522609408
7,1600000000.0,0.009085494320515666,0.0006772598792613891
7,1700000000.0,0.009140296877128817,0.0007282251398196716
7,1800000000.0,0.00924110603961311,0.0006124760784366148
7,1900000000.0,0.009328656016287733,0.0008479402551222681
7,2000000000.0,0.00938222297370553,0.0006635941101096655
7,2100000000.0,0.009573870985903265,0.0008846732239209872
7,2200000000.0,0.009816710655938836,0.0009552145812899182
7,2300000000.0,0.009974334457395847,0.0008043977180496989
7,2400000000.0,0.009941840999245145,0.0009698949956359189
7,2500000000.0,0.010034270630790966,0.0010997938074759565
7,2600000000.0,0.010077611300522317,0.0011932608406604187
7,2700000000.0,0.01052262005060809,0.0012047459529356931
8,1400000000.0,0.00911846509628267,0.0005903303261962515
8,1500000000.0,0.009287658008846922,0.0005232582171605374
8,1600000000.0,0.009357891203157852,0.0006277047436967583
8,1700000000.0,0.009422139117404445,0.0007212739095568644
8,1800000000.0,0.009473148051280817,0.0006149911752579294
8,1900000000.0,0.009651714819076276,0.0008038797925592474
8,2000000000.0,0.00978178360022559,0.0007212414524414306
8,2100000000.0,0.009782031620318524,0.0007522542674209081
8,2200000000.0,0.009907477368336007,0.0008729957946406532
8,2300000000.0,0.010164375538106587,0.000776706396855777
8,2400000000.0,0.009959129608713762,0.0010751843108516754
8,2500000000.0,0.01019349238799269,0.0010873418002225368
8,2600000000.0,0.010283440223331134,0.0010637154698155185
9,1200000000.0,0.00940277658734412,0.0006515914855994511
9,1300000000.0,0.009343049825461516,0.0005998605595035947
9,1400000000.0,0.009491105512404811,0.0006752156741537382
9,1500000000.0,0.009635560627672292,0.0006334018355731368
9,1600000000.0,0.0095473822913305,0.0006370021350778514
9,1700000000.0,0.0098059200704949,0.0007227343565512995
9,1800000000.0,0.009683758962889637,0.0006205130180227977
9,1900000000.0,0.0098335727496,0.0007555057521540783
9,2000000000.0,0.009744383872103631,0.0006443732434016297
9,2100000000.0,0.01012924929373984,0.0007969394681961224
9,2200000000.0,0.009885801897374603,0.0009435100730962105
9,2300000000.0,0.010199548130241883,0.000973029287325294
9,2400000000.0,0.010086187865276517,0.0009940369159984123
9,2500000000.0,0.01028866365278447,0.0010757808727216804
10,1100000000.0,0.009348044723166034,0.0006235844799962003
10,1200000000.0,0.009389670292916421,0.0005891748106820295
10,1300000000.0,0.009624252714297038,0.0006947997817643752
10,1400000000.0,0.009760608672074235,0.0006365961539586481
10,1500000000.0,0.009554799579933427,0.0006031321398872396
10,1600000000.0,0.009868382947450075,0.0006141550031504952
10,1700000000.0,0.009696207568282772,0.0007076249825009225
10,1800000000.0,0.009854927803773547,0.000666211871998246
10,1900000000.0,0.010093427086328965,0.0007338747293037147
10,2000000000.0,0.009906868745904318,0.0007521054522913182
10,2100000000.0,0.010170668443393784,0.000804902099770272
10,2200000000.0,0.009987083076747418,0.0009014639295246488
10,2300000000.0,0.01013950504001675,0.0009814295979626562
