Number of teeth,High frequency modulation (Hz),Mean concentration (VMR),Standard deviation (VMR)
5,1000000000.0,0.00621798270599029,0.0012864158315541445
5,1100000000.0,0.006337040267264578,0.0010173425309538604
5,1200000000.0,0.007526960729264493,0.0008497586347584012
5,1300000000.0,0.007526846895431978,0.0011070837302436004
5,1400000000.0,0.007526700921701235,0.0010242228286636915
5,1500000000.0,0.00791718821616795,0.0006264501717893911
5,1600000000.0,0.008344941997451331,0.0009300023133959122
5,1700000000.0,0.008160641557005336,0.0008129515226357073
5,1800000000.0,0.008037028330020648,0.0006515888512453426
5,1900000000.0,0.007979524535346432,0.00033820379942247513
5,2000000000.0,0.008057911247468472,0.0006188684809827093
5,2100000000.0,0.008349427903167944,0.0007164280849697038
5,2200000000.0,0.008867213899658518,0.0006183519040028233
5,2300000000.0,0.008343208629532138,0.0010772445813598086
5,2400000000.0,0.009086661635623914,0.0005307324492735532
5,2500000000.0,0.00914494057420928,0.001257320133293939
5,2600000000.0,0.009627688195929057,0.0007917858911996483
5,2700000000.0,0.009257171920136522,0.0013660195246031621
5,2800000000.0,0.010129547048759267,0.0007694723742889602
5,2900000000.0,0.010073211754318969,0.0009353340641120708
5,3000000000.0,0.009911697206386075,0.002035187494064726
6,800000000.0,0.006151883646616922,0.0004496516456431104
6,900000000.0,0.006758348676772162,0.0003498444430055752
6,1000000000.0,0.006758096866504323,0.0005807813763785819
6,1100000000.0,0.007165713735248133,0.0006732329812334005
6,1200000000.0,0.007750123481405825,0.0004079302643354839
6,1300000000.0,0.008086581121762916,0.0005130660046438467
6,1400000000.0,0.008292030237661516,0.000572462876240649
6,1500000000.0,0.008551327679932339,0.000701575258233835
6,1600000000.0,0.008831817522795823,0.000352040165437234
6,1700000000.0,0.00882844398394125,0.0006659026925519223
6,1800000000.0,0.008559739512607594,0.0009431089245027389
6,1900000000.0,0.00865319264122966,0.0003915320980123807
6,2000000000.0,0.009014238218318997,0.0003765424327792131
6,2100000000.0,0.009621775598954644,0.0007031329642969041
6,2200000000.0,0.00880813710845939,0.0007216324559893194
6,2300000000.0,0.009578154081467786,0.0011786069943069302
6,2400000000.0,0.0102259182132281,0.0010007894656061636
6,2500000000.0,0.009068635415379242,0.0012606661089177738
6,2600000000.0,0.010128238183566698,0.0007564387399871378
6,2700000000.0,0.009744160989776601,0.0014812624790007207
6,2800000000.0,0.010103724908397197,0.0012040225763448216
6,2900000000.0,0.010636223674297502,0.0008834110533739436
6,3000000000.0,0.010241290973312167,0.0013030692730971929
7,700000000.0,0.007187759175253524,0.00043287682751786457
7,800000000.0,0.007792147098095163,0.0006865730982053143
7,900000000.0,0.007912712828587458,0.0005525102604952843
7,1000000000.0,0.008215954531420558,0.0004349649561055253
7,1100000000.0,0.008542364195277336,0.0004508139042542949
7,1200000000.0,0.00840626732487882,0.0007409732072000778
7,1300000000.0,0.008741850168578919,0.00046576293478774243
7,1400000000.0,0.009336169925599689,0.0008517359177668072
7,1500000000.0,0.009263577269998595,0.0007798733455970095
7,1600000000.0,0.009096285430129202,0.0004952210321785744
7,1700000000.0,0.009528644913304673,0.0006047329874342376
7,1800000000.0,0.009098724064343769,0.0006834916665101174
7,1900000000.0,0.009447259965268663,0.0002973328375457571
